ethereum_address,ether_balance,unique_tokens,unique_transfers,mined_blocks,outgoing_txns,incoming_txns,total_eth_sent,avg_eth_sent,total_usd_sent,avg_usd_sent,total_eth_recd,avg_eth_recd,total_usd_recd,avg_usd_recd,active_months,monthly_outgoing_txns,monthly_incoming_txns,monthly_eth_sent,monthly_usd_sent,monthly_eth_recd,monthly_usd_recd,contracts_created,contract_txns_sent,incoming_avg_time_btwn_txns,incoming_std_time_btwn_txns,outgoing_avg_time_btwn_txns,outgoing_std_time_btwn_txns,num_tokens_used,Entity
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,135.65169562558444,290,174660,0,10277,115,11336.245645255,1.103069538,3319624.2909016856,323.0149159192064,11372.21,98.888782609,3344425.4370999997,29081.960322608695,5,2055.4,23.0,2267.249129051,663924.8581803371,2274.442,668885.08742,0,0,91033.38596491228,102099.77251467717,1028.9515375632543,3847.158797707745,84,Exchange
0x0fd297255ec21fbb88dee67cb8bbc372a593c539,1435.2814467612409,73,10,0,26,35,359.920754723,13.843105951,253881.63396039308,9764.678229245888,1075.166751874,30.719050054,463881.1047506209,13253.745850017738,14,1.8571428571428572,2.5,25.708625337,18134.402425742363,76.797625134,33134.36462504435,0,0,888766.2352941177,3250611.193161755,1257058.96,2122794.3071270366,39,
0x35e6d4701852c80845ea22767b52f23f329156b5,719.6529220077779,48,2,0,20,11,15604.09832,780.204916,3677088.6197568,183854.43098784,16823.97871,1529.45261,114153.0325918,10377.548417436365,35,0.5714285714285714,0.3142857142857143,445.831380571,105059.6748501943,480.685106,3261.5152169085713,0,0,6506464.300000001,8063490.895887628,3119623.947368421,4331082.2196370335,25,
0x0ff24158220a14398f047a80a513617ddc4f5289,38505.452984755066,88,54,0,1363,46041,196361.130296978,144.065392734,87553932.28057264,64236.19389623817,225114.711250711,4.889440091,91984657.6151005,1997.8857456419269,32,42.59375,1438.78125,6136.285321781,2736060.383767895,7034.834726585,2874520.5504718907,0,0,1782.5803431798436,36518.76598789014,60186.62261380324,184223.25654196664,35,
0xa43d2e05ed00c040c8422a88cb8ede921a539f92,59013.14017755,79,2,0,221,569,34796.76234045,157.451413305,389112.0460015809,1760.687990957381,93810,164.868189807,1049796.400000002,1844.984885764501,33,6.696969696969697,17.242424242424242,1054.44734365,11791.274121260027,2842.727272727,31812.01212121218,0,0,1783.545774647888,32079.91942908187,394.05000000000007,3494.1160904005956,43,
0xcc062b8a3086bd7466ecf32e4e4e648a16ad8ab1,250.13383365200002,55,11,0,3,8,25,8.333333333,22929.1,7643.033333333334,225.79150929,28.223938661,55227.99037968448,6903.498797460563,13,0.23076923076923078,0.6153846153846154,1.923076923,1763.776923076923,17.368577638,4248.306952283421,0,0,4027488.9999999995,9145988.144105643,302385.0,318649.1856603434,33,
0x32bd6a39d28604df48100c1a764e009ebb4f2552,116.52923431601576,65,103,0,111,561,2276.1035,20.505436937,1074000.9346050003,9675.684095540539,2377.825952545,4.238548935,1073216.7816542836,1913.0423915406136,18,6.166666666666667,31.166666666666668,126.450194444,59666.71858916668,132.101441808,59623.15453634909,0,0,78541.75000000003,112714.74057122061,375221.8909090909,632245.6301687601,51,
0x274d9e726844ab52e351e8f1272e7fc3f58b7e5f,125.80014725636448,78,131,0,18,14,5010.024,278.334666667,1755679.08144,97537.72674666665,18454.50958209,1318.179255864,7200321.04844242,514308.6463173157,18,1.0,0.7777777777777778,278.334666667,97537.72674666667,1025.250532338,400017.8360245789,0,0,3376062.846153847,6863169.240646395,2461183.0588235296,5611514.406750492,26,
0x96194d4c17f17c6d25b06e73156851d5e0181aeb,498.987314677,64,6,0,34,26,8728.574143851,256.722768937,4402996.178076134,129499.88759047457,19027.632955231,731.83203674,1012500.2742194929,38942.31823921126,21,1.619047619047619,1.2380952380952381,415.646387802,209666.4846702921,906.077759773,48214.29877235681,0,0,1131812.04,1718713.7735631329,1055401.727272727,1512864.8140005202,44,
0x324cac984d3f7f40bc00ba9621d341769c90a97a,4761.63677847142,95,6,0,41,51,7297.98222485,177.99956646,7806184.208593373,190394.73679496034,13102.445064742,256.910687544,3141844.962287603,61604.80318210986,24,1.7083333333333333,2.125,304.082592702,325257.6753580572,545.935211031,130910.20676198346,0,0,779300.72,1680270.43842851,1307262.3,3444373.59024288,49,
0xd4dcd2459bb78d7a645aa7e196857d421b10d93f,4474.032720414972,311,8815,0,18665,13530,146649.064314301,7.856901383,55047606.1072028,2949.2422237986384,157472.714797711,11.638781582,57906452.54650094,4279.856064042906,6,3110.8333333333335,2255.0,24441.51071905,9174601.017867133,26245.452466285,9651075.424416823,0,0,968.6475718826222,2607.5009350672544,701.8619802828977,1844.9941809247553,161,Exchange
0xbe6cf5343101b6756ee8cf3e851a7399c70fac04,2541.7832662478,49,2,0,13,12,1045.552030053,80.427079235,359995.5967490867,27691.968980698985,3474.12965372,289.510804477,595029.8878198183,49585.82398498486,19,0.6842105263157895,0.631578947368421,55.029054213,18947.136671004562,182.848929143,31317.362516832545,0,0,1936115.4545454544,4674268.044040102,1685461.3333333335,1542593.5044166448,30,
0x5da487ea7278e25288fd4f0f9243e3fa61bc7443,213.33748752861848,58,20,0,148,137,1218.5791371,8.233642818,840179.0678506811,5676.8855935856855,1267.691971763,9.253226071,822417.4123008649,6003.0468051157995,11,13.454545454545455,12.454545454545455,110.779921555,76379.91525915283,115.244724706,74765.21930007864,0,0,192925.69117647063,323116.78200243274,170061.84353741503,314584.51379748713,77,
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,251472.6796048949,376,21,0,995229,123,42618093.370548187,42.822399036,8861368283.192389,8903.848544598708,7933942.784530771,64503.599874234,1528122319.10362,12423758.691899344,29,34318.24137931035,4.241379310344827,1469589.426570627,305564423.55835825,273584.233949337,52693873.07253862,0,0,595535.1639344261,870154.2243103117,73.28809378353506,425.0457508214844,229,Exchange
0x94c4c463960082abed5430554e3698a19e3c9f6f,137.7889869566322,65,60,0,24,5,26.22365324,1.092652218,9148.9798024931,381.2074917705459,0.338,0.0676,161.89598,32.379196,9,2.6666666666666665,0.5555555555555556,2.913739249,1016.5533113881223,0.037555556,17.988442222222222,1015,122,491471.0,650535.4058040705,778656.9130434782,1387720.0868622249,35,
0x5531342f0d31a6a9aaaabf171bf59f568ad00c83,164.9344479177737,83,20,0,36,33,361.607953246,10.044665368,105419.53243778668,2928.3203454940735,724.747183559,21.962035865,203290.90834611366,6160.330555942838,19,1.894736842105263,1.736842105263158,19.031997539,5548.396444094035,38.144588608,10699.52149190072,0,0,1287339.4062500002,4313689.505676945,1155539.1428571427,3329951.6514415136,70,
0x9e14e0c458cfdbfa3d78eb662ba828f515f4cb52,199.93352700909858,104,7,0,16,5,1510.01,94.375625,701479.2453000001,43842.452831250004,4614.002,922.8004,211930.58533999996,42386.117068,21,0.7619047619047619,0.23809523809523808,71.905238095,33403.77358571429,219.714380952,10091.932635238094,0,0,6324526.499999999,12648389.67170036,2705313.7333333334,2768700.654409663,50,
0x88ebf152293dbaeb401f1756b9e06a169621a4e6,159.440996361548,68,21,0,67,58,1734.120679511,25.882398202,480257.7009430809,7168.025387210162,2159.592889396,37.234360162,503054.7139762918,8673.35713752227,20,3.35,2.9,86.706033976,24012.885047154043,107.97964447,25152.73569881459,0,0,703450.9649122806,1130996.9628317496,518083.6060606061,888216.6260121261,57,
0x101f8e3d561d6ff98568bb1364974c16062f1648,240.1860748299791,104,8,0,15,7,466.24,31.082666667,270108.8462,18007.256413333333,612.637231241,87.519604463,363945.2197244829,51992.17424635469,9,1.6666666666666667,0.7777777777777778,51.804444444,30012.094022222227,68.070803471,40438.357747164766,0,0,2143381.833333333,1591624.030038428,1252728.0714285714,1791883.3209720764,83,
0x18ee0ee7138a419b1afa46c7afe003c553f20791,900.6839789939038,55,4,0,14,13,2168.01925778,154.858518413,348830.1099538837,24916.4364252774,4338.80257402,333.754044155,51678.2781734444,3975.25216718803,28,0.5,0.4642857142857143,77.429259206,12458.218212638703,154.957234786,1845.6527919087287,0,0,3823820.1666666665,8012724.128300493,3788784.0,8647356.362445597,31,
0x1575091b949c3143dbfd45154645448698ae7267,2400.9790952146045,56,38,0,5,24,18964.04165474,3792.808330948,144176.06610277295,28835.213220554593,21366.05241795,890.252184081,343540.5354428615,14314.188976785896,33,0.15151515151515152,0.7272727272727273,574.667928932,4368.971700084029,647.456133877,10410.319255844288,0,0,1811682.2173913042,7374305.331028142,823955.0,1612933.443239987,31,
0x178503a849817119c3cd69f705ef2612acb062fa,660.9785319802677,64,150,0,30,13,571.29016273,19.043005424,436717.6633053035,14557.25544351012,1202.391463273,92.491651021,398733.23276867747,30671.787136052113,16,1.875,0.8125,35.705635171,27294.853956581468,75.149466455,24920.82704804234,0,0,3116679.1666666665,1833499.0828935816,1179789.2413793104,2308729.5825836556,40,
0xbcf26bb97b5e3cf18d3e5b4afc6887e39a3e331b,442.4249283125411,75,18,0,5,29,9501.11,1900.222,3958520.4381999997,791704.08764,10450.613906199,360.365996765,2690184.318598787,92764.97650340645,19,0.2631578947368421,1.5263157894736843,500.058421053,208343.1809578947,550.032310853,141588.64834730458,0,0,425580.6785714286,952314.1127750844,4102706.0,3008464.5514839184,42,
0x6d0a3c72681a3ad9c1a3bcddac2fc2be47bcbb26,2800.3889073262812,87,23,0,7,4,3653,521.857142857,1707890.8600000003,243984.4085714286,10403.153410482,2600.78835262,1763334.503076614,440833.62576915347,19,0.3684210526315789,0.21052631578947367,192.263157895,89888.99263157896,547.534390025,92807.07910929548,0,0,2475.0,3586.7942511384736,4042034.833333333,6174912.991370596,44,
0x3d9d67e45989e0eda022faadecee9dd5c6d2e93f,741.1887123080138,75,6,0,8,10,760.132329661,95.016541208,441779.80215607374,55222.475269509225,2462.273922014,246.227392201,655605.1933101806,65560.51933101805,18,0.4444444444444444,0.5555555555555556,42.22957387,24543.322342004096,136.792995667,36422.510739454476,0,0,4751459.222222221,7534202.633763804,4109002.857142857,4266078.394730827,37,
0x9f304c09b3104d1070ef25466457376873ceee5d,201.32716020277772,57,6,0,23,49,268.573,11.677086957,150871.14200999998,6559.614869999999,700.027038286,14.286266087,115857.75254397119,2364.443929468798,19,1.2105263157894737,2.5789473684210527,14.135421053,7940.586421578946,36.843528331,6097.776449682694,0,0,437312.22916666674,1171897.6622286742,648081.5909090908,1750548.0583932148,42,
